ID problema,Descrizione,Stato,Gravità,Punti della storia,Percorso progetto,Tipologia di posizione,PERCORSO,Riga,Colonna,ID evento imprevisto,Collegamento alla Guida,Nome dell'assembly,Versione assembly,Chiave pubblica dell'assembly,Frammento
NuGet.0002,È consigliabile eseguire l'aggiornamento del pacchetto NuGet,Active,Potential,1,CRM\Client\CRM.Client.csproj,File,CRM\Client\CRM.Client.csproj,,,Microsoft.AspNetCore.Components.WebAssembly.DevServer 9.0.4,,,,,"Microsoft.AspNetCore.Components.WebAssembly.DevServer, 9.0.4  Raccomandazione:  Remove Microsoft.AspNetCore.Components.WebAssembly.DevServer, and replace with new package Microsoft.AspNetCore.Components.WebAssembly.DevServer 10.0.10"
NuGet.0002,È consigliabile eseguire l'aggiornamento del pacchetto NuGet,Active,Potential,1,CRM\Client\CRM.Client.csproj,File,CRM\Client\CRM.Client.csproj,,,Microsoft.AspNetCore.Components.WebAssembly.Authentication 9.0.4,,,,,"Microsoft.AspNetCore.Components.WebAssembly.Authentication, 9.0.4  Raccomandazione:  Remove Microsoft.AspNetCore.Components.WebAssembly.Authentication, and replace with new package Microsoft.AspNetCore.Components.WebAssembly.Authentication 10.0.10"
NuGet.0002,È consigliabile eseguire l'aggiornamento del pacchetto NuGet,Active,Potential,1,CRM\Client\CRM.Client.csproj,File,CRM\Client\CRM.Client.csproj,,,Microsoft.AspNetCore.SignalR.Client 9.0.4,,,,,"Microsoft.AspNetCore.SignalR.Client, 9.0.4  Raccomandazione:  Remove Microsoft.AspNetCore.SignalR.Client, and replace with new package Microsoft.AspNetCore.SignalR.Client 10.0.10"
NuGet.0003,Le funzionalità del pacchetto NuGet sono incluse nel riferimento al framework.,Active,Mandatory,1,CRM\Client\CRM.Client.csproj,File,CRM\Client\CRM.Client.csproj,,,Microsoft.AspNetCore.WebUtilities 9.0.11,,,,,"Microsoft.AspNetCore.WebUtilities, 9.0.11  Raccomandazione:  Funzionalità del pacchetto inclusa con il nuovo riferimento al framework"
NuGet.0002,È consigliabile eseguire l'aggiornamento del pacchetto NuGet,Active,Potential,1,CRM\Client\CRM.Client.csproj,File,CRM\Client\CRM.Client.csproj,,,Microsoft.Extensions.Caching.Memory 9.0.4,,,,,"Microsoft.Extensions.Caching.Memory, 9.0.4  Raccomandazione:  Remove Microsoft.Extensions.Caching.Memory, and replace with new package Microsoft.Extensions.Caching.Memory 10.0.10"
NuGet.0002,È consigliabile eseguire l'aggiornamento del pacchetto NuGet,Active,Potential,1,CRM\Client\CRM.Client.csproj,File,CRM\Client\CRM.Client.csproj,,,Microsoft.Extensions.Features 9.0.4,,,,,"Microsoft.Extensions.Features, 9.0.4  Raccomandazione:  Remove Microsoft.Extensions.Features, and replace with new package Microsoft.Extensions.Features 10.0.10"
NuGet.0002,È consigliabile eseguire l'aggiornamento del pacchetto NuGet,Active,Potential,1,CRM\Client\CRM.Client.csproj,File,CRM\Client\CRM.Client.csproj,,,Microsoft.Extensions.Http 9.0.4,,,,,"Microsoft.Extensions.Http, 9.0.4  Raccomandazione:  Remove Microsoft.Extensions.Http, and replace with new package Microsoft.Extensions.Http 10.0.10"
NuGet.0002,È consigliabile eseguire l'aggiornamento del pacchetto NuGet,Active,Potential,1,CRM\Client\CRM.Client.csproj,File,CRM\Client\CRM.Client.csproj,,,Microsoft.Extensions.Localization 9.0.4,,,,,"Microsoft.Extensions.Localization, 9.0.4  Raccomandazione:  Remove Microsoft.Extensions.Localization, and replace with new package Microsoft.Extensions.Localization 10.0.10"
NuGet.0002,È consigliabile eseguire l'aggiornamento del pacchetto NuGet,Active,Potential,1,CRM\Client\CRM.Client.csproj,File,CRM\Client\CRM.Client.csproj,,,Newtonsoft.Json 13.0.3,,,,,"Newtonsoft.Json, 13.0.3  Raccomandazione:  Remove Newtonsoft.Json, and replace with new package Newtonsoft.Json 13.0.4"
NuGet.0003,Le funzionalità del pacchetto NuGet sono incluse nel riferimento al framework.,Active,Mandatory,1,CRM\Client\CRM.Client.csproj,File,CRM\Client\CRM.Client.csproj,,,System.Net.Http 4.3.4,,,,,"System.Net.Http, 4.3.4  Raccomandazione:  Funzionalità del pacchetto inclusa con il nuovo riferimento al framework"
